,,,,,,,,,,,,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Point Shares,Point Shares,Point Shares,Point Shares
23,Keith Primeau\primeke02,29,PHI,C,3,0.48,0,0,0,1,0,34,39,73,17,,,,,,7.2,2.1,0.0,9.3
23,Mark Recchi\recchma01,32,PHI,RW,3,0.48,0,0,0,1,0,27,50,77,15,,,,,,6.7,2.1,0.0,8.7
28,Arturs Irbe\irbear01,33,CAR,G,1,0.16,0,0,0,0,1,0,2,2,0,37,29,9,2.45,.908,0.0,0.0,12.9,12.9
28,Jeff O'Neill\oneilje01,24,CAR,RW,1,0.16,0,0,0,0,1,41,26,67,-18,,,,,,6.8,1.5,0.0,8.3
1,Chris Pronger\prongch01,25,STL,D,396,68.28,25,9,11,8,4,14,48,62,52,,,,,,5.2,9.6,0.0,14.8
2,Jaromir Jagr\jagrja01,27,PIT,RW,395,68.10,18,22,9,4,4,42,54,96,25,,,,,,9.9,2.3,0.0,12.2
3,Pavel Bure\burepa01,28,FLA,RW,346,59.66,11,18,16,9,3,58,36,94,25,,,,,,10.7,2.8,0.0,13.5
4,Olaf Kolzig\kolziol01,29,WSH,G,139,23.97,2,3,12,10,8,0,2,2,0,41,20,11,2.24,.917,0.0,0.0,14.6,14.6
5,Owen Nolan\nolanow01,27,SJS,RW,62,10.69,1,0,3,7,16,44,40,84,-1,,,,,,8.6,1.8,0.0,10.5
6,Roman Turek\turekro01,29,STL,G,30,5.17,0,2,1,3,2,0,1,1,0,42,15,9,1.95,.912,0.0,0.0,10.2,10.2
6,Mark Recchi\recchma01,31,PHI,RW,30,5.17,0,1,2,3,4,28,63,91,20,,,,,,7.6,3.1,0.0,10.7
8,Steve Yzerman\yzermst01,34,DET,C,26,4.48,1,0,1,3,2,35,44,79,28,,,,,,7.3,2.5,0.0,9.8
9,Nicklas Lidstrom\lidstni01,29,DET,D,22,3.79,0,1,0,4,3,20,53,73,19,,,,,,7.1,5.8,0.0,13.0
10,Mike Modano\modanmi01,29,DAL,C,21,3.62,0,2,0,2,1,38,43,81,0,,,,,,7.3,2.5,0.0,9.7
11,Curtis Joseph\josepcu01,32,TOR,G,16,2.76,0,0,2,1,3,0,1,1,0,36,20,7,2.49,.915,0.0,0.0,13.4,13.4
12,Martin Brodeur\brodema01,27,NJD,G,6,1.03,0,0,0,1,3,1,4,5,0,43,20,8,2.24,.910,0.0,0.0,12.1,12.1
13,Chris Simon\simonch01,28,WSH,LW,5,0.86,0,0,1,0,0,29,20,49,11,,,,,,4.9,1.6,0.0,6.6
14,Joe Sakic\sakicjo01,30,COL,C,4,0.69,0,0,0,1,1,28,53,81,30,,,,,,7.4,2.7,0.0,10.1
15,Brendan Shanahan\shanabr01,31,DET,LW,3,0.52,0,0,0,1,0,41,37,78,24,,,,,,8.3,2.2,0.0,10.5
15,Ed Belfour\belfoed01,34,DAL,G,3,0.52,0,0,0,0,3,0,3,3,0,32,21,7,2.10,.919,0.0,0.0,12.1,12.1
17,Patrik Elias\eliaspa01,23,NJD,LW,1,0.17,0,0,0,0,1,35,37,72,16,,,,,,7.4,2.0,0.0,9.4
17,Dominik Hasek\hasekdo01,35,BUF,G,1,0.17,0,0,0,0,1,0,1,1,0,15,11,6,2.21,.919,0.0,0.0,7.2,7.2
17,Jarome Iginla\iginlja01,22,CGY,RW,1,0.17,0,0,0,0,1,29,34,63,0,,,,,,5.4,1.5,0.0,7.0
17,Adam Oates\oatesad01,37,WSH,C,1,0.17,0,0,0,0,1,15,56,71,13,,,,,,3.9,2.4,0.0,6.3
1,Jaromir Jagr\jagrja01,26,PIT,RW,543,96.96,51,4,1,0,0,44,83,127,17,,,,,,11.9,2.7,0.0,14.6
2,Alexei Yashin\yashial01,25,OTT,C,226,40.36,0,23,9,5,5,44,50,94,16,,,,,,9.6,2.4,0.0,12.0
3,Dominik Hasek\hasekdo01,34,BUF,G,172,30.71,4,10,8,5,7,0,0,0,0,30,18,14,1.87,.937,0.0,0.0,16.8,16.8
4,Curtis Joseph\josepcu01,31,TOR,G,118,21.07,1,5,10,7,2,0,5,5,0,35,24,7,2.56,.910,0.0,0.0,11.6,11.6
5,Teemu Selanne\selante01,28,MDA,RW,111,19.82,0,3,14,5,5,47,60,107,18,,,,,,11.6,2.7,0.0,14.3
6,Eric Lindros\lindrer01,25,PHI,C,77,13.75,0,4,5,6,6,40,53,93,35,,,,,,9.2,3.1,0.0,12.4
7,Peter Forsberg\forsbpe01,25,COL,C,61,10.89,0,3,4,5,5,30,67,97,27,,,,,,8.0,2.8,0.0,10.8
8,Paul Kariya\kariypa01,24,MDA,LW,48,8.57,0,2,2,6,6,39,62,101,17,,,,,,9.1,3.1,0.0,12.2
9,Byron Dafoe\dafoeby01,27,BOS,G,40,7.14,0,1,1,7,7,0,2,2,0,32,23,11,2.00,.926,0.0,0.0,14.1,14.1
10,Al MacInnis\macinal01,35,STL,D,24,4.29,0,1,1,3,3,20,42,62,33,,,,,,6.0,7.7,0.0,13.6
11,Mike Modano\modanmi01,28,DAL,C,13,2.32,0,0,0,3,4,34,47,81,29,,,,,,7.6,3.1,0.0,10.7
12,Pavol Demitra\demitpa01,24,STL,LW,7,1.25,0,0,0,2,1,37,52,89,13,,,,,,8.5,2.2,0.0,10.7
12,Steve Yzerman\yzermst01,33,DET,C,7,1.25,0,0,1,0,2,29,45,74,8,,,,,,5.8,2.0,0.0,7.8
14,Ron Tugnutt\tugnuro01,31,OTT,G,4,0.71,0,0,0,1,1,0,0,0,0,22,10,8,1.79,.925,0.0,0.0,7.8,7.8
15,Joe Sakic\sakicjo01,29,COL,C,3,0.54,0,0,0,1,0,41,55,96,23,,,,,,8.9,2.7,0.0,11.6
16,Martin Brodeur\brodema01,26,NJD,G,1,0.18,0,0,0,0,1,0,4,4,0,39,21,10,2.29,.906,0.0,0.0,9.8,9.8
16,Mats Sundin\sundima01,27,TOR,C,1,0.18,0,0,0,0,1,31,52,83,22,,,,,,7.2,1.7,0.0,8.9
1,Dominik Hasek\hasekdo01,33,BUF,G,499,92.41,43,7,4,0,0,0,2,2,0,33,23,13,2.09,.932,0.0,0.0,18.6,18.6
2,Jaromir Jagr\jagrja01,25,PIT,RW,308,57.04,4,25,16,4,1,35,67,102,17,,,,,,10.9,1.7,0.0,12.6
3,Teemu Selanne\selante01,27,MDA,RW,247,45.74,5,14,16,4,7,52,34,86,12,,,,,,12.0,1.3,0.0,13.3
4,Martin Brodeur\brodema01,25,NJD,G,115,21.30,1,5,7,8,11,0,3,3,0,43,17,8,1.89,.917,0.0,0.0,11.1,11.1
5,Wayne Gretzky\gretzwa01,37,NYR,C,46,8.52,1,0,1,9,4,23,67,90,-11,,,,,,8.2,0.9,0.0,9.1
6,Peter Bondra\bondrpe01,29,WSH,RW,40,7.41,0,1,3,5,3,52,26,78,14,,,,,,10.5,1.6,0.0,12.1
7,John LeClair\leclajo01,28,PHI,LW,34,6.30,0,0,3,5,4,51,36,87,30,,,,,,11.0,2.1,0.0,13.1
8,Peter Forsberg\forsbpe01,24,COL,C,26,4.81,0,0,0,7,5,25,66,91,6,,,,,,9.0,1.1,0.0,10.1
9,Jason Allison\allisja02,22,BOS,C,18,3.33,0,1,1,1,3,33,50,83,33,,,,,,8.9,2.4,0.0,11.3
10,Rob Blake\blakero01,28,LAK,D,17,3.15,0,0,1,2,5,23,27,50,-3,,,,,,5.9,3.0,0.0,8.8
11,Olaf Kolzig\kolziol01,27,WSH,G,8,1.48,0,0,1,1,0,0,1,1,0,33,18,10,2.20,.920,0.0,0.0,12.7,12.7
12,Byron Dafoe\dafoeby01,26,BOS,G,7,1.30,0,1,0,0,0,0,3,3,0,30,25,9,2.24,.914,0.0,0.0,10.8,10.8
12,Joe Nieuwendyk\nieuwjo01,31,DAL,C,7,1.30,0,0,1,0,2,39,30,69,16,,,,,,8.4,1.7,0.0,10.0
12,Nicklas Lidstrom\lidstni01,27,DET,D,7,1.30,0,0,0,2,1,17,42,59,22,,,,,,6.1,5.5,0.0,11.6
15,Ron Francis\francro01,34,PIT,C,6,1.11,0,0,0,2,0,25,62,87,12,,,,,,8.2,1.6,0.0,9.8
15,Chris Pronger\prongch01,23,STL,D,6,1.11,0,0,0,2,0,9,27,36,47,,,,,,2.9,7.3,0.0,10.3
15,Ed Belfour\belfoed01,32,DAL,G,6,1.11,0,0,0,1,3,0,0,0,0,37,12,10,1.88,.916,0.0,0.0,9.3,9.3
18,Tom Barrasso\barrato01,32,PIT,G,3,0.56,0,0,0,1,0,0,2,2,0,31,14,13,2.07,.922,0.0,0.0,11.8,11.8
19,Steve Yzerman\yzermst01,32,DET,C,2,0.37,0,0,0,0,2,24,45,69,3,,,,,,6.7,0.9,0.0,7.6
20,Bobby Holik\holikbo01,27,NJD,C,1,0.19,0,0,0,0,1,29,36,65,23,,,,,,6.5,2.1,0.0,8.6
20,Curtis Joseph\josepcu01,30,EDM,G,1,0.19,0,0,0,0,1,0,2,2,0,29,31,9,2.63,.905,0.0,0.0,11.0,11.0
1,Dominik Hasek\hasekdo01,32,BUF,G,519,96.11,50,2,1,0,0,0,3,3,0,37,20,10,2.27,.930,0.0,0.0,17.2,17.2
2,Paul Kariya\kariypa01,22,MDA,LW,239,44.26,3,21,9,4,5,44,55,99,36,,,,,,10.6,2.0,0.0,12.6
3,Mario Lemieux\lemiema01,31,PIT,C,181,33.52,1,11,12,10,4,50,72,122,27,,,,,,12.8,1.7,0.0,14.5
4,Martin Brodeur\brodema01,24,NJD,G,115,21.30,0,7,6,11,3,0,4,4,0,37,14,13,1.88,.927,0.0,0.0,12.4,12.4
5,Teemu Selanne\selante01,26,MDA,RW,70,12.96,0,3,6,5,4,51,58,109,28,,,,,,11.8,1.9,0.0,13.7
6,John LeClair\leclajo01,27,PHI,LW,66,12.22,0,4,5,2,7,50,47,97,44,,,,,,10.6,2.4,0.0,13.0
7,Mike Modano\modanmi01,26,DAL,C,44,8.15,0,0,3,7,8,35,48,83,43,,,,,,7.8,2.4,0.0,10.2
8,Patrick Roy\roypa01,31,COL,G,31,5.74,0,2,2,0,7,0,1,1,0,38,15,7,2.32,.923,0.0,0.0,13.5,13.5
9,Eric Lindros\lindrer01,23,PHI,C,30,5.56,0,2,2,1,3,32,47,79,31,,,,,,8.4,1.6,0.0,10.0
10,Keith Tkachuk\tkachke01,24,PHX,LW,25,4.63,0,0,2,4,3,52,34,86,-1,,,,,,9.7,1.2,0.0,10.9
11,Peter Forsberg\forsbpe01,23,COL,C,17,3.15,0,0,2,2,1,28,58,86,31,,,,,,8.1,1.9,0.0,10.0
12,Ziggy Palffy\palffzi01,24,NYI,RW,16,2.96,0,1,1,1,1,48,42,90,21,,,,,,10.2,1.8,0.0,12.0
13,Jaromir Jagr\jagrja01,24,PIT,RW,15,2.78,0,1,1,0,3,47,48,95,22,,,,,,10.6,1.4,0.0,12.0
14,Joe Sakic\sakicjo01,27,COL,C,10,1.85,0,0,0,3,1,22,52,74,-10,,,,,,6.4,0.5,0.0,6.9
15,Wayne Gretzky\gretzwa01,36,NYR,C,8,1.48,0,0,1,1,0,25,72,97,12,,,,,,8.2,1.3,0.0,9.5
16,Brian Leetch\leetcbr01,28,NYR,D,6,1.11,0,0,0,2,0,20,58,78,31,,,,,,7.5,5.6,0.0,13.1
17,Tony Amonte\amontto01,26,CHI,RW,5,0.93,0,0,1,0,0,41,36,77,35,,,,,,7.9,2.2,0.0,10.1
18,Mats Sundin\sundima01,25,TOR,C,3,0.56,0,0,0,1,0,41,53,94,6,,,,,,9.7,1.3,0.0,11.0
19,Doug Gilmour\gilmodo01,33,TOT,C,1,0.19,0,0,0,0,1,22,60,82,2,,,,,,6.7,1.2,0.0,7.9
19,Guy Hebert\hebergu01,30,MDA,G,1,0.19,0,0,0,0,1,0,1,1,0,29,25,12,2.67,.919,0.0,0.0,14.7,14.7
19,Mike Richter\richtmi01,30,NYR,G,1,0.19,0,0,0,0,1,0,0,0,0,33,22,6,2.69,.917,0.0,0.0,13.0,13.0
19,Brendan Shanahan\shanabr01,28,TOT,LW,1,0.19,0,0,0,0,1,47,41,88,32,,,,,,9.3,2.3,0.0,11.6
1,Mario Lemieux\lemiema01,30,PIT,C,439,81.30,34,10,5,1,1,69,92,161,10,,,,,,16.6,0.7,0.0,17.4
2,Mark Messier\messima01,35,NYR,C,275,50.93,10,15,10,6,2,47,52,99,29,,,,,,9.6,1.8,0.0,11.3
3,Eric Lindros\lindrer01,22,PHI,C,213,39.44,2,17,7,12,3,47,68,115,26,,,,,,11.0,1.8,0.0,12.8
4,Jaromir Jagr\jagrja01,23,PIT,RW,156,28.89,5,3,10,10,5,62,87,149,31,,,,,,14.6,1.5,0.0,16.0
5,Sergei Fedorov\fedorse01,26,DET,RW,68,12.59,0,3,6,4,5,39,68,107,49,,,,,,9.5,2.5,0.0,12.0
6,Grant Fuhr\fuhrgr01,33,STL,G,52,9.63,1,3,2,2,5,0,1,1,0,30,28,16,2.87,.903,0.0,0.0,12.5,12.5
6,Joe Sakic\sakicjo01,26,COL,C,52,9.63,0,0,6,5,7,51,69,120,14,,,,,,11.6,1.1,0.0,12.8
8,Jim Carey\careyji01,21,WSH,G,32,5.93,1,0,1,5,2,0,1,1,0,35,24,9,2.26,.906,0.0,0.0,9.9,9.9
9,Paul Kariya\kariypa01,21,MDA,LW,28,5.19,1,1,1,1,3,50,58,108,9,,,,,,10.3,1.3,0.0,11.6
10,Chris Chelios\chelich01,34,CHI,D,20,3.70,0,2,1,0,1,14,58,72,25,,,,,,5.7,5.6,0.0,11.3
11,Ray Bourque\bourqra01,35,BOS,D,13,2.41,0,0,1,2,2,20,62,82,31,,,,,,7.4,5.7,0.0,13.0
12,Martin Brodeur\brodema01,23,NJD,G,9,1.67,0,0,1,1,1,0,1,1,0,34,30,12,2.34,.911,0.0,0.0,12.8,12.8
13,Peter Forsberg\forsbpe01,22,COL,C,8,1.48,0,0,1,0,3,30,86,116,26,,,,,,9.5,1.5,0.0,11.0
14,Keith Tkachuk\tkachke01,23,WIN,LW,6,1.11,0,0,0,1,3,50,48,98,11,,,,,,10.0,1.2,0.0,11.2
15,John LeClair\leclajo01,26,PHI,LW,5,0.93,0,0,1,0,0,51,46,97,21,,,,,,9.5,1.7,0.0,11.2
15,Daren Puppa\puppada01,30,TBL,G,5,0.93,0,0,0,1,2,0,1,1,0,29,16,9,2.46,.918,0.0,0.0,11.6,11.6
18,Steve Yzerman\yzermst01,30,DET,C,4,0.74,0,0,0,1,1,36,59,95,29,,,,,,8.1,1.9,0.0,10.0
18,Alexander Mogilny\mogilal01,26,VAN,RW,4,0.74,0,0,0,1,1,55,52,107,14,,,,,,10.9,1.2,0.0,12.2
20,Vladimir Konstantinov\konstvl01,28,DET,D,3,0.56,0,0,0,1,0,14,20,34,60,,,,,,2.6,8.5,0.0,11.1
21,Teemu Selanne\selante01,25,TOT,RW,2,0.37,0,0,0,0,2,40,68,108,5,,,,,,9.8,1.1,0.0,10.9
22,Peter Bondra\bondrpe01,27,WSH,RW,1,0.19,0,0,0,0,1,52,28,80,18,,,,,,8.6,1.6,0.0,10.2
22,Brian Leetch\leetcbr01,27,NYR,D,1,0.19,0,0,0,0,1,15,70,85,12,,,,,,7.0,4.5,0.0,11.4
22,Scott Mellanby\mellasc01,29,FLA,RW,1,0.19,0,0,0,0,1,32,38,70,4,,,,,,5.7,1.3,0.0,6.9
22,Chris Osgood\osgooch01,23,DET,G,1,0.19,0,0,0,0,1,1,2,3,0,39,6,5,2.17,.911,0.0,0.0,7.8,7.8
1,Eric Lindros\lindrer01,21,PHI,C,63,84.00,10,4,1,,,29,41,70,27,,,,,,7.3,1.5,0.0,8.8
2,Jaromir Jagr\jagrja01,22,PIT,RW,27,36.00,2,4,5,,,32,38,70,23,,,,,,7.3,1.0,0.0,8.3
3,Dominik Hasek\hasekdo01,30,BUF,G,23,30.67,3,2,2,,,0,0,0,0,19,14,7,2.11,.930,0.0,0.0,10.3,10.3
4,Paul Coffey\coffepa01,33,DET,D,15,20.00,0,4,3,,,14,44,58,18,,,,,,5.5,3.5,0.0,9.0
5,Theoren Fleury\fleurth01,26,CGY,RW,7,9.33,0,1,4,,,29,29,58,6,,,,,,6.1,0.6,0.0,6.8
6,Brett Hull\hullbr01,30,STL,RW,0,0.00,0,0,0,,,29,21,50,13,,,,,,5.5,0.7,0.0,6.1
1,Sergei Fedorov\fedorse01,24,DET,C,194,71.85,31,11,6,,,56,64,120,48,,,,,,11.7,2.1,0.0,13.8
2,Dominik Hasek\hasekdo01,29,BUF,G,86,31.85,6,15,11,,,0,3,3,0,30,20,6,1.95,.930,0.0,0.0,13.1,13.1
3,John Vanbiesbrouck\vanbijo01,30,FLA,G,74,27.41,7,11,6,,,0,0,0,0,21,25,11,2.53,.924,0.0,0.0,15.2,15.2
4,Doug Gilmour\gilmodo01,30,TOR,C,50,18.52,4,7,9,,,27,84,111,25,,,,,,8.5,1.9,0.0,10.4
5,Patrick Roy\roypa01,28,MTL,G,26,9.63,3,3,2,,,0,1,1,0,35,17,11,2.50,.918,0.0,0.0,14.4,14.4
6,Ray Bourque\bourqra01,33,BOS,D,18,6.67,2,2,2,,,20,71,91,26,,,,,,7.8,5.7,0.0,13.5
7,Scott Stevens\stevesc01,29,NJD,D,13,4.81,1,1,5,,,18,60,78,53,,,,,,6.3,6.9,0.0,13.2
8,Adam Graves\gravead01,25,NYR,LW,8,2.96,0,1,5,,,52,27,79,27,,,,,,7.8,1.9,0.0,9.8
9,Cam Neely\neelyca01,28,BOS,RW,5,1.85,0,1,2,,,50,24,74,12,,,,,,8.5,1.1,0.0,9.6
10,Mike Richter\richtmi01,27,NYR,G,3,1.11,0,1,0,,,0,0,0,0,42,12,6,2.57,.910,0.0,0.0,11.7,11.7
10,Jeremy Roenick\roenije01,24,CHI,C,3,1.11,0,1,0,,,46,61,107,21,,,,,,9.5,1.8,0.0,11.3
12,Pavel Bure\burepa01,22,VAN,RW,2,0.74,0,0,2,,,60,47,107,1,,,,,,11.3,1.0,0.0,12.3
12,Adam Oates\oatesad01,31,BOS,C,2,0.74,0,0,2,,,32,80,112,10,,,,,,9.1,1.4,0.0,10.5
14,Arturs Irbe\irbear01,26,SJS,G,1,0.37,0,0,1,,,0,2,2,0,30,28,16,2.84,.899,0.0,0.0,11.8,11.8
14,Igor Larionov\larioig01,33,SJS,C,1,0.37,0,0,1,,,18,38,56,20,,,,,,3.9,1.5,0.0,5.4
1,Mario Lemieux\lemiema01,27,PIT,C,248,99.20,49,1,0,,,69,91,160,55,,,,,,14.7,2.2,0.0,16.8
2,Doug Gilmour\gilmodo01,29,TOR,C,99,39.60,0,29,12,,,32,95,127,32,,,,,,8.7,2.2,0.0,11.0
3,Pat LaFontaine\lafonpa01,27,BUF,C,52,20.80,1,12,11,,,53,95,148,11,,,,,,11.9,1.3,0.0,13.2
4,Adam Oates\oatesad01,30,BOS,C,28,11.20,0,6,10,,,45,97,142,15,,,,,,10.7,1.5,0.0,12.2
5,Pierre Turgeon\turgepi01,23,NYI,C,12,4.80,0,2,6,,,58,74,132,-1,,,,,,11.0,1.0,0.0,12.0
6,Teemu Selanne\selante01,22,WIN,RW,5,2.00,0,0,5,,,76,56,132,8,,,,,,12.2,1.3,0.0,13.4
7,Chris Chelios\chelich01,31,CHI,D,3,1.20,0,0,3,,,15,58,73,14,,,,,,4.8,6.3,0.0,11.1
8,Steve Yzerman\yzermst01,27,DET,C,2,0.80,0,0,2,,,58,79,137,33,,,,,,11.1,1.8,0.0,13.0
9,Eric Lindros\lindrer01,19,PHI,C,1,0.40,0,0,1,,,41,34,75,28,,,,,,6.4,1.4,0.0,7.8
1,Mark Messier\messima01,31,NYR,C,341,98.84,67,2,0,,,35,72,107,31,,,,,,8.1,1.7,0.0,9.9
2,Patrick Roy\roypa01,26,MTL,G,105,30.43,1,27,19,,,0,5,5,0,36,22,8,2.36,.914,0.0,0.0,13.5,13.5
3,Brett Hull\hullbr01,27,STL,RW,49,14.20,1,12,8,,,70,39,109,-2,,,,,,11.0,0.9,0.0,11.9
4,Kirk McLean\mcleaki01,25,VAN,G,37,10.72,0,11,4,,,0,5,5,0,38,17,9,2.74,.901,0.0,0.0,11.4,11.4
5,Mario Lemieux\lemiema01,26,PIT,C,29,8.41,0,7,18,,,44,87,131,27,,,,,,11.0,1.4,0.0,12.4
5,Jeremy Roenick\roenije01,22,CHI,C,29,8.41,0,5,14,,,53,50,103,23,,,,,,9.1,1.9,0.0,11.1
7,Steve Yzerman\yzermst01,26,DET,C,10,2.90,0,2,4,,,45,58,103,26,,,,,,8.7,1.4,0.0,10.1
8,Kevin Stevens\steveke01,26,PIT,LW,4,1.16,0,1,1,,,54,69,123,8,,,,,,10.6,1.0,0.0,11.5
9,Doug Gilmour\gilmodo01,28,TOT,C,3,0.87,0,1,0,,,26,61,87,25,,,,,,5.9,1.8,0.0,7.6
9,Scott Stevens\stevesc01,27,NJD,D,3,0.87,0,0,3,,,17,42,59,24,,,,,,4.6,4.6,0.0,9.2
9,Brian Leetch\leetcbr01,23,NYR,D,3,0.87,0,0,3,,,22,80,102,25,,,,,,8.1,5.1,0.0,13.2
9,Trevor Linden\lindetr01,21,VAN,RW,3,0.87,0,1,0,,,31,44,75,3,,,,,,5.2,1.1,0.0,6.3
13,Ray Bourque\bourqra01,31,BOS,D,1,0.29,0,0,1,,,21,60,81,11,,,,,,6.3,5.0,0.0,11.2
13,Tim Cheveldae\cheveti01,23,DET,G,1,0.29,0,0,1,,,0,4,4,0,38,23,9,3.20,.886,0.0,0.0,10.2,10.2
13,Bob Essensa\essenbo01,27,WIN,G,1,0.29,0,0,1,,,0,2,2,0,21,17,6,2.88,.910,0.0,0.0,10.1,10.1
13,Dale Hunter\hunteda02,31,WSH,C,1,0.29,0,0,1,,,28,50,78,-2,,,,,,5.1,0.8,0.0,6.0
13,Pat LaFontaine\lafonpa01,26,BUF,C,1,0.29,0,0,1,,,46,47,93,10,,,,,,8.9,1.0,0.0,9.9
1,Brett Hull\hullbr01,26,STL,RW,277,83.94,44,18,3,,,86,45,131,23,,,,,,13.8,1.5,0.0,15.4
