,,,,,,,,,,,,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Point Shares,Point Shares,Point Shares,Point Shares
2,Wayne Gretzky\gretzwa01,30,LAK,C,220,66.67,20,37,9,,,41,122,163,30,,,,,,13.0,1.5,0.0,14.5
3,Ed Belfour\belfoed01,25,CHI,G,63,19.09,2,7,32,,,0,3,3,0,43,19,7,2.47,.910,0.0,0.0,14.0,14.0
4,Ray Bourque\bourqra01,30,BOS,D,15,4.55,0,3,6,,,21,73,94,33,,,,,,7.6,5.6,0.0,13.2
5,Steve Larmer\larmest01,29,CHI,RW,5,1.52,0,1,2,,,44,57,101,37,,,,,,8.4,2.2,0.0,10.6
5,Theoren Fleury\fleurth01,22,CGY,RW,5,1.52,0,0,5,,,51,53,104,48,,,,,,9.2,2.1,0.0,11.2
7,Joe Sakic\sakicjo01,21,QUE,C,3,0.91,0,0,3,,,48,61,109,-26,,,,,,9.5,0.3,0.0,9.8
8,Al MacInnis\macinal01,27,CGY,D,2,0.61,0,0,2,,,28,75,103,42,,,,,,8.6,5.5,0.0,14.1
9,John MacLean\maclejo01,26,NJD,RW,1,0.30,0,0,1,,,45,33,78,8,,,,,,6.6,1.2,0.0,7.8
9,Mark Messier\messima01,30,EDM,C,1,0.30,0,0,1,,,12,52,64,15,,,,,,3.9,1.1,0.0,5.0
9,Mark Recchi\recchma01,22,PIT,RW,1,0.30,0,0,1,,,40,73,113,0,,,,,,8.9,0.6,0.0,9.5
9,Rick Tocchet\tocchri01,26,PHI,RW,1,0.30,0,0,1,,,40,31,71,2,,,,,,6.0,1.1,0.0,7.0
1,Mark Messier\messima01,29,EDM,C,227,72.06,29,24,10,,,45,84,129,19,,,,,,9.8,1.5,0.0,11.3
2,Ray Bourque\bourqra01,29,BOS,D,225,71.43,29,26,2,,,19,65,84,31,,,,,,6.1,6.4,0.0,12.5
3,Brett Hull\hullbr01,25,STL,RW,80,25.40,4,9,33,,,72,41,113,-1,,,,,,10.7,1.1,0.0,11.8
4,Wayne Gretzky\gretzwa01,29,LAK,C,16,5.08,1,2,5,,,40,102,142,8,,,,,,10.5,0.8,0.0,11.3
5,Pat LaFontaine\lafonpa01,24,NYI,C,8,2.54,0,1,5,,,54,51,105,-13,,,,,,8.9,0.6,0.0,9.5
5,Patrick Roy\roypa01,24,MTL,G,8,2.54,0,1,5,,,0,5,5,0,31,16,5,2.53,.912,0.0,0.0,11.9,11.9
7,Steve Yzerman\yzermst01,24,DET,C,3,0.95,0,0,3,,,62,65,127,-6,,,,,,11.1,0.7,0.0,11.8
1,Wayne Gretzky\gretzwa01,28,LAK,C,267,84.76,40,22,1,,,54,114,168,15,,,,,,13.2,0.9,0.0,14.1
2,Mario Lemieux\lemiema01,23,PIT,C,187,59.37,18,27,16,,,85,114,199,41,,,,,,17.7,1.9,0.0,19.6
3,Steve Yzerman\yzermst01,23,DET,C,109,34.60,5,14,42,,,65,90,155,17,,,,,,13.0,1.4,0.0,14.4
4,Patrick Roy\roypa01,23,MTL,G,2,0.63,0,0,2,,,0,6,6,0,33,5,6,2.47,.908,0.0,0.0,9.3,9.3
5,Joe Mullen\mullejo01,31,CGY,RW,1,0.32,0,0,1,,,51,59,110,51,,,,,,8.8,2.2,0.0,11.0
5,Chris Chelios\chelich01,27,MTL,D,1,0.32,0,0,1,,,15,58,73,35,,,,,,4.8,6.7,0.0,11.5
1,Mario Lemieux\lemiema01,22,PIT,C,292,92.70,54,7,1,,,70,98,168,23,,,,,,14.7,1.5,0.0,16.2
2,Grant Fuhr\fuhrgr01,25,EDM,G,106,33.65,4,25,11,,,0,8,8,,40,24,9,3.43,.881,0.0,0.0,11.3,11.3
3,Wayne Gretzky\gretzwa01,27,EDM,C,73,23.17,2,15,18,,,40,109,149,39,,,,,,11.3,1.6,0.0,12.8
4,Steve Yzerman\yzermst01,22,DET,C,64,20.32,3,11,16,,,50,52,102,30,,,,,,8.9,1.5,0.0,10.4
5,Denis Savard\savarde01,26,CHI,C,21,6.67,0,5,6,,,44,87,131,4,,,,,,9.8,1.2,0.0,11.0
6,Tom Barrasso\barrato01,22,BUF,G,5,1.59,0,0,5,,,0,1,1,,25,18,8,3.32,.896,0.0,0.0,11.0,11.0
7,Dale Hawerchuk\hawerda01,24,WIN,C,2,0.63,0,0,2,,,44,77,121,-9,,,,,,9.0,0.9,0.0,10.0
8,Ray Bourque\bourqra01,27,BOS,D,1,0.32,0,0,1,,,17,64,81,34,,,,,,5.5,6.2,0.0,11.7
8,Sean Burke\burkese01,21,NJD,G,1,0.32,0,0,1,,,0,1,1,,10,1,0,3.05,.883,0.0,0.0,1.7,1.7
8,Kirk Muller\mulleki01,21,NJD,C,1,0.32,0,0,1,,,37,57,94,19,,,,,,6.6,1.6,0.0,8.2
8,Gary Suter\suterga01,23,CGY,D,1,0.32,0,0,1,,,21,70,91,39,,,,,,6.7,4.4,0.0,11.1
1,Wayne Gretzky\gretzwa01,26,EDM,C,255,94.44,49,3,1,,,62,121,183,69,,,,,,15.2,2.4,0.0,17.6
2,Ray Bourque\bourqra01,26,BOS,D,95,35.19,2,24,13,,,23,72,95,44,,,,,,7.2,6.4,0.0,13.6
3,Mike Liut\liutmi01,31,HAR,G,39,14.44,1,7,13,,,0,2,2,0,31,22,5,3.23,.885,0.0,0.0,9.5,9.5
4,Mario Lemieux\lemiema01,21,PIT,C,34,12.59,2,6,6,,,54,53,107,12,,,,,,9.5,1.1,0.0,10.6
5,Doug Gilmour\gilmodo01,23,STL,C,30,11.11,0,9,3,,,42,63,105,-4,,,,,,7.8,1.1,0.0,8.9
6,Dale Hawerchuk\hawerda01,23,WIN,C,11,4.07,0,2,5,,,47,53,100,2,,,,,,7.9,1.2,0.0,9.1
7,Steve Yzerman\yzermst01,21,DET,C,5,1.85,0,1,2,,,31,59,90,-2,,,,,,5.9,1.2,0.0,7.1
7,Mark Howe\howema02,31,PHI,D,5,1.85,0,1,2,,,15,43,58,57,,,,,,4.1,6.5,0.0,10.5
9,Ron Francis\francro01,23,HAR,C,3,1.11,0,1,0,,,30,63,93,11,,,,,,6.4,1.3,0.0,7.7
9,Ron Hextall\hextaro01,22,PHI,G,3,1.11,0,0,3,,,0,6,6,0,37,21,6,3.01,.902,0.0,0.0,13.8,13.8
9,Mark Messier\messima01,26,EDM,C,3,1.11,0,0,3,,,37,70,107,22,,,,,,7.7,1.1,0.0,8.8
12,Dino Ciccarelli\ciccadi01,26,MNS,RW,2,0.74,0,0,2,,,52,51,103,11,,,,,,8.6,1.2,0.0,9.9
13,Kevin Dineen\dineeke01,23,HAR,RW,1,0.37,0,0,1,,,40,39,79,8,,,,,,6.0,1.3,0.0,7.3
1,Wayne Gretzky\gretzwa01,25,EDM,C,281,93.67,54,3,2,,,52,163,215,71,,,,,,14.9,2.1,0.0,17.0
2,Mario Lemieux\lemiema01,20,PIT,C,163,54.33,4,46,5,,,48,93,141,-8,,,,,,9.9,0.9,0.0,10.9
3,Mark Howe\howema02,30,PHI,D,32,10.67,0,5,17,,,24,58,82,87,,,,,,5.7,8.8,0.0,14.5
4,Paul Coffey\coffepa01,24,EDM,D,29,9.67,1,4,12,,,48,90,138,61,,,,,,11.0,5.1,0.0,16.1
5,John Vanbiesbrouck\vanbijo01,22,NYR,G,16,5.33,1,1,8,,,0,3,3,0,31,21,5,3.33,.887,0.0,0.0,10.0,10.0
6,Mike Bossy\bossymi01,29,NYI,RW,5,1.67,0,1,2,,,61,62,123,30,,,,,,9.4,1.6,0.0,11.0
7,Peter Stastny\stastpe01,29,QUE,C,3,1.00,0,0,3,,,41,81,122,2,,,,,,8.1,1.1,0.0,9.2
8,Neal Broten\brotene01,26,MNS,C,2,0.67,0,0,2,,,29,76,105,14,,,,,,6.1,1.4,0.0,7.4
8,Tim Kerr\kerrti01,26,PHI,RW,2,0.67,0,0,2,,,58,26,84,-2,,,,,,6.8,0.9,0.0,7.7
10,Ray Bourque\bourqra01,25,BOS,D,1,0.33,0,0,1,,,19,58,77,17,,,,,,5.1,5.0,0.0,10.1
10,Kevin Dineen\dineeke01,22,HAR,RW,1,0.33,0,0,1,,,33,35,68,15,,,,,,4.7,1.1,0.0,5.8
10,Bernie Federko\federbe01,29,STL,C,1,0.33,0,0,1,,,34,68,102,11,,,,,,6.2,1.3,0.0,7.5
10,Ron Francis\francro01,22,HAR,C,1,0.33,0,0,1,,,24,53,77,5,,,,,,4.9,0.8,0.0,5.7
10,Troy Murray\murratr01,23,CBH,C,1,0.33,0,0,1,,,45,54,99,32,,,,,,6.9,1.6,0.0,8.5
10,Brian Propp\proppbr01,26,PHI,LW,1,0.33,0,0,1,,,40,57,97,22,,,,,,6.6,1.5,0.0,8.0
10,Larry Robinson\robinla01,34,MTL,D,1,0.33,0,0,1,,,19,63,82,25,,,,,,5.5,5.8,0.0,11.3
1,Wayne Gretzky\gretzwa01,24,EDM,C,303,96.19,60,1,0,,,73,135,208,100,,,,,,16.6,3.0,0.0,19.6
2,Dale Hawerchuk\hawerda01,21,WIN,C,91,28.89,1,23,17,,,53,77,130,20,,,,,,9.8,1.3,0.0,11.1
3,Pelle Lindbergh\lindbpe01,25,PHI,G,56,17.78,0,15,11,,,0,0,0,0,40,17,7,3.02,.899,0.0,0.0,13.8,13.8
4,Rod Langway\langwro01,27,WSH,D,28,8.89,1,6,5,,,4,22,26,36,,,,,,0.5,6.4,0.0,6.9
5,Ray Bourque\bourqra01,24,BOS,D,21,6.67,0,5,6,,,20,66,86,30,,,,,,5.9,5.7,0.0,11.6
6,Brian Sutter\suttebr01,28,STL,LW,13,4.13,1,2,2,,,37,37,74,10,,,,,,4.8,1.2,0.0,6.0
7,Doug Wilson\wilsodo01,27,CBH,D,10,3.17,0,3,1,,,22,54,76,24,,,,,,5.3,4.8,0.0,10.1
8,Tom Barrasso\barrato01,19,BUF,G,9,2.86,0,2,3,,,0,6,6,0,25,18,10,2.67,.887,0.0,0.0,8.1,8.1
9,Tim Kerr\kerrti01,25,PHI,RW,7,2.22,0,1,4,,,54,44,98,31,,,,,,7.8,1.5,0.0,9.3
9,Marcel Dionne\dionnma01,33,LAK,C,7,2.22,0,1,4,,,46,80,126,11,,,,,,8.8,1.4,0.0,10.2
11,Mike Bossy\bossymi01,28,NYI,RW,6,1.90,0,1,3,,,58,59,117,37,,,,,,9.5,1.7,0.0,11.2
12,Michel Goulet\goulemi01,24,QUE,LW,4,1.27,0,1,1,,,55,40,95,10,,,,,,7.6,1.1,0.0,8.7
12,Bob Carpenter\carpebo01,21,WSH,C,4,1.27,0,1,1,,,53,42,95,20,,,,,,7.3,1.6,0.0,8.9
14,Jari Kurri\kurrija01,24,EDM,RW,3,0.95,0,1,0,,,71,64,135,78,,,,,,11.6,2.4,0.0,14.0
15,Paul Coffey\coffepa01,23,EDM,D,1,0.32,0,0,1,,,37,84,121,57,,,,,,9.5,5.3,0.0,14.8
15,Bernie Federko\federbe01,28,STL,C,1,0.32,0,0,1,,,30,73,103,-10,,,,,,6.4,0.7,0.0,7.1
15,Brent Sutter\suttebr02,22,NYI,C,1,0.32,0,0,1,,,42,60,102,42,,,,,,7.4,1.8,0.0,9.2
15,John Tonelli\toneljo01,27,NYI,LW,1,0.32,0,0,1,,,42,58,100,49,,,,,,7.0,2.1,0.0,9.0
15,Dave Poulin\poulida02,26,PHI,C,1,0.32,0,0,1,,,30,44,74,45,,,,,,4.5,1.9,0.0,6.4
1,Wayne Gretzky\gretzwa01,23,EDM,C,306,98.71,60,2,0,,,87,118,205,78,,,,,,17.4,2.2,0.0,19.6
2,Rod Langway\langwro01,26,WSH,D,102,32.90,1,26,19,,,9,24,33,14,,,,,,1.2,6.3,0.0,7.6
3,Bryan Trottier\trottbr01,27,NYI,C,54,17.42,1,14,7,,,40,71,111,68,,,,,,8.0,2.3,0.0,10.3
4,Rick Middleton\middlri01,30,BOS,RW,31,10.00,0,8,7,,,47,58,105,26,,,,,,7.5,1.8,0.0,9.3
5,Ray Bourque\bourqra01,23,BOS,D,17,5.48,0,4,5,,,31,65,96,51,,,,,,7.3,7.2,0.0,14.5
6,Mike Bossy\bossymi01,27,NYI,RW,13,4.19,0,3,4,,,51,67,118,65,,,,,,9.3,2.2,0.0,11.5
7,Michel Goulet\goulemi01,23,QUE,LW,12,3.87,0,2,6,,,56,66,122,62,,,,,,9.3,2.3,0.0,11.6
8,Reggie Lemelin\lemelre01,29,CGY,G,6,1.94,0,1,3,,,0,3,3,0,21,12,9,3.52,.893,0.0,0.0,9.6,9.6
9,Tom Barrasso\barrato01,18,BUF,G,4,1.29,0,1,1,,,0,2,2,0,26,12,3,2.85,.893,0.0,0.0,7.5,7.5
10,Paul Coffey\coffepa01,22,EDM,D,3,0.97,0,1,0,,,40,86,126,52,,,,,,9.9,4.4,0.0,14.3
11,Tim Kerr\kerrti01,24,PHI,RW,2,0.65,0,0,2,,,54,39,93,29,,,,,,7.2,1.4,0.0,8.6
11,Peter Stastny\stastpe01,27,QUE,C,2,0.65,0,0,2,,,46,73,119,22,,,,,,8.3,1.3,0.0,9.6
12,Brad Park\parkbr01,35,DET,D,1,0.32,0,0,1,,,5,53,58,-31,,,,,,2.8,2.6,0.0,5.4
12,Denis Savard\savarde01,22,CBH,C,1,0.32,0,0,1,,,37,57,94,-12,,,,,,6.2,0.8,0.0,7.0
12,Al Jensen\jenseal01,25,WSH,G,1,0.32,0,0,1,,,0,0,0,0,25,13,3,2.92,.881,0.0,0.0,5.8,5.8
12,Dan Bouchard\bouchda01,33,QUE,G,1,0.32,0,0,1,,,0,3,3,0,29,18,8,3.21,.882,0.0,0.0,9.1,9.1
12,Barry Pederson\pederba01,22,BOS,C,1,0.32,0,0,1,,,39,77,116,27,,,,,,7.7,1.8,0.0,9.5
12,Kent Nilsson\nilsske01,27,CGY,C,1,0.32,0,0,1,,,31,49,80,-24,,,,,,5.1,0.2,0.0,5.3
1,Wayne Gretzky\gretzwa01,22,EDM,C,266,84.44,43,16,3,,,71,125,196,61,,,,,,16.1,1.9,0.0,18.0
2,Pete Peeters\peetepe01,25,BOS,G,159,50.48,14,27,8,,,0,2,2,0,40,12,9,2.37,.903,0.0,0.0,16.5,16.5
3,Denis Savard\savarde01,21,CBH,C,67,21.27,3,10,22,,,35,86,121,26,,,,,,8.0,1.6,0.0,9.6
4,Rod Langway\langwro01,25,WSH,D,30,9.52,1,6,7,,,3,29,32,-2,,,,,,0.9,4.3,0.0,5.2
5,Mark Howe\howema02,27,PHI,D,20,6.35,2,0,10,,,20,47,67,47,,,,,,4.5,6.3,0.0,10.8
6,Bobby Clarke\clarkbo01,33,PHI,C,9,2.86,,,,,,23,62,85,37,,,,,,4.4,1.8,0.0,6.1
7,Peter Stastny\stastpe01,26,QUE,C,5,1.59,,,,,,47,77,124,29,,,,,,9.1,1.3,0.0,10.4
8,Lanny McDonald\mcdonla01,29,CGY,RW,4,1.27,,,,,,66,32,98,-1,,,,,,8.8,1.0,0.0,9.8
9,Glenn Resch\reschgl01,34,NJD,G,2,0.63,0,0,2,,,0,3,3,0,15,35,12,3.98,.875,0.0,0.0,9.2,9.2
10,Mike Bossy\bossymi01,26,NYI,RW,1,0.32,0,0,1,,,60,58,118,27,,,,,,9.4,1.8,0.0,11.2
10,John Tonelli\toneljo01,25,NYI,LW,1,0.32,0,0,1,,,31,40,71,30,,,,,,4.2,1.8,0.0,6.0
10,Mark Pavelich\pavelma02,24,NYR,C,1,0.32,0,0,1,,,37,38,75,19,,,,,,4.8,1.5,0.0,6.2
10,Brad Park\parkbr01,34,BOS,D,1,0.32,0,0,1,,,10,26,36,20,,,,,,1.8,5.2,0.0,6.9
10,Brian Sutter\suttebr01,26,STL,LW,1,0.32,0,0,1,,,46,30,76,-3,,,,,,5.5,1.2,0.0,6.7
1,Wayne Gretzky\gretzwa01,21,EDM,C,315,100.00,63,0,0,,,92,120,212,80,,,,,,17.2,2.5,0.0,19.7
2,Bryan Trottier\trottbr01,25,NYI,C,130,41.27,0,41,7,,,50,79,129,70,,,,,,8.7,2.4,0.0,11.2
3,Mike Bossy\bossymi01,25,NYI,RW,34,10.79,0,10,4,,,64,83,147,69,,,,,,10.9,2.4,0.0,13.3
4,Peter Stastny\stastpe01,25,QUE,C,15,4.76,0,2,9,,,46,93,139,-10,,,,,,9.1,0.7,0.0,9.8
5,Dale Hawerchuk\hawerda01,18,WIN,C,13,4.13,0,2,7,,,45,58,103,-7,,,,,,6.8,1.0,0.0,7.9
6,Barry Beck\beckba01,24,NYR,D,10,3.17,0,3,1,,,9,29,38,20,,,,,,2.0,4.2,0.0,6.2
6,Dennis Maruk\marukde01,26,WSH,C,10,3.17,0,0,10,,,60,76,136,-7,,,,,,9.9,1.1,0.0,11.0
8,Rick Middleton\middlri01,28,BOS,RW,7,2.22,0,1,4,,,51,43,94,15,,,,,,7.0,1.4,0.0,8.4
9,Doug Wilson\wilsodo01,24,CBH,D,6,1.90,0,0,6,,,39,46,85,1,,,,,,6.9,3.4,0.0,10.3
10,Bobby Smith\smithbo01,23,MNS,C,5,1.59,0,1,2,,,43,71,114,10,,,,,,7.3,1.4,0.0,8.7
10,Denis Savard\savarde01,20,CBH,C,5,1.59,0,1,2,,,32,87,119,0,,,,,,7.0,1.0,0.0,7.9
12,Gilles Meloche\melocgi01,31,MNS,G,3,0.95,0,1,0,,,0,1,1,0,26,15,9,3.48,.894,0.0,0.0,10.0,10.0
14,Richard Brodeur\broderi01,29,VAN,G,2,0.63,0,0,2,,,0,2,2,0,20,18,12,3.36,.893,0.0,0.0,10.3,10.3
15,Terry O'Reilly\oreilte01,30,BOS,RW,1,0.32,0,0,1,,,22,30,52,24,,,,,,2.2,1.6,0.0,3.8
15,Brad Park\parkbr01,33,BOS,D,1,0.32,0,0,1,,,14,42,56,12,,,,,,3.4,4.9,0.0,8.2
15,Dino Ciccarelli\ciccadi01,21,MNS,RW,1,0.32,0,0,1,,,55,51,106,14,,,,,,7.7,1.5,0.0,9.2
15,Bob Gainey\gainebo01,28,MTL,LW,1,0.32,0,0,1,,,21,24,45,36,,,,,,1.2,1.8,0.0,3.0
15,Paul Gardner\gardnpa01,25,PIT,C,1,0.32,0,0,1,,,36,33,69,-5,,,,,,4.7,0.8,0.0,5.5
15,Ray Bourque\bourqra01,21,BOS,D,1,0.32,0,0,1,,,17,49,66,21,,,,,,4.5,4.8,0.0,9.2
15,Al Secord\secoral01,23,CBH,LW,1,0.32,0,0,1,,,44,31,75,-17,,,,,,4.8,0.5,0.0,5.3
15,Bill Barber\barbebi01,29,PHI,LW,1,0.32,0,0,1,,,45,44,89,2,,,,,,5.7,0.9,0.0,6.6
15,Brian Sutter\suttebr01,25,STL,LW,1,0.32,0,0,1,,,39,36,75,-3,,,,,,4.7,0.9,0.0,5.6
1,Wayne Gretzky\gretzwa01,20,EDM,C,242,42.68,,,,,,55,109,164,41,,,,,,12.3,2.0,0.0,14.3
2,Mike Liut\liutmi01,25,STL,G,237,41.80,,,,,,0,0,0,0,33,14,13,3.35,.894,0.0,0.0,11.6,11.6
3,Marcel Dionne\dionnma01,29,LAK,C,24,4.23,,,,,,58,77,135,54,,,,,,10.5,2.3,0.0,12.8
4,Mike Bossy\bossymi01,24,NYI,RW,20,3.53,,,,,,68,51,119,38,,,,,,10.2,1.8,0.0,12.0
5,Bryan Trottier\trottbr01,24,NYI,C,9,1.59,,,,,,31,72,103,50,,,,,,6.6,2.1,0.0,8.7
6,Larry Robinson\robinla01,29,MTL,D,7,1.23,,,,,,12,38,50,47,,,,,,3.2,6.1,0.0,9.3
7,Dan Bouchard\bouchda01,30,TOT,G,6,1.06,,,,,,0,4,4,,23,10,8,3.44,.892,0.0,0.0,7.9,7.9
8,Kent Nilsson\nilsske01,24,CGY,C,5,0.88,,,,,,49,82,131,14,,,,,,9.5,1.4,0.0,10.9
9,Denis Potvin\potvide01,27,NYI,D,4,0.71,,,,,,20,56,76,39,,,,,,5.4,5.6,0.0,11.0
10,Danny Gare\gareda01,26,BUF,RW,3,0.53,,,,,,46,39,85,12,,,,,,6.3,1.3,0.0,7.7
11,Randy Carlyle\carlyra01,24,PIT,D,2,0.35,,,,,,16,67,83,-16,,,,,,5.4,3.0,0.0,8.5
11,Peter Stastny\stastpe01,24,QUE,C,2,0.35,,,,,,39,70,109,10,,,,,,7.3,1.3,0.0,8.6
11,Mario Lessard\lessama01,26,LAK,G,2,0.35,,,,,,0,1,1,0,35,18,11,3.26,.893,0.0,0.0,12.6,12.6
14,Don Edwards\edwardo01,25,BUF,G,1,0.18,,,,,,0,2,2,0,23,10,12,2.96,.898,0.0,0.0,10.1,10.1
14,Tiger Williams\williti01,26,VAN,LW,1,0.18,,,,,,35,27,62,4,,,,,,3.8,1.2,0.0,5.0
14,Guy Lafleur\laflegu01,29,MTL,RW,1,0.18,,,,,,27,43,70,24,,,,,,5.0,1.3,0.0,6.3
14,Ray Bourque\bourqra01,20,BOS,D,1,0.18,,,,,,27,29,56,29,,,,,,4.5,5.1,0.0,9.6
1,Wayne Gretzky\gretzwa01,19,EDM,C,211,38.43,,,,,,51,86,137,14,,,,,,11.3,1.3,0.0,12.6
2,Marcel Dionne\dionnma01,28,LAK,C,166,30.24,,,,,,53,84,137,34,,,,,,11.6,2.0,0.0,13.5
3,Tony Esposito\esposto01,36,CBH,G,64,11.66,,,,,,0,1,1,0,31,22,16,2.98,.903,0.0,0.0,14.0,14.0
4,Guy Lafleur\laflegu01,28,MTL,RW,44,8.01,,,,,,50,75,125,40,,,,,,10.8,2.0,0.0,12.8
5,Danny Gare\gareda01,25,BUF,RW,20,3.64,,,,,,56,33,89,48,,,,,,8.3,2.1,0.0,10.4
6,Mike Liut\liutmi01,24,STL,G,14,2.55,,,,,,0,0,0,0,32,23,9,3.18,.895,0.0,0.0,11.4,11.4
7,Larry Robinson\robinla01,28,MTL,D,9,1.64,,,,,,14,61,75,38,,,,,,5.5,5.9,0.0,11.4
8,Darryl Sittler\sittlda01,29,TOR,C,8,1.46,,,,,,40,57,97,3,,,,,,7.7,1.0,0.0,8.7
9,Denis Potvin\potvide01,26,NYI,D,7,1.28,,,,,,8,33,41,13,,,,,,3.2,2.4,0.0,5.6
10,Bobby Clarke\clarkbo01,30,PHI,C,6,1.09,,,,,,12,57,69,42,,,,,,3.3,1.6,0.0,4.9